symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,23/06/2022 14:05,136.48,136.44,136.54,136.38,12405,,,,,,
AAPL,23/06/2022 14:10,136.47,136.4,136.47,136.36,8454,,,,,,
AAPL,23/06/2022 14:15,136.45,136.52,136.59,136.43,6706,,,,,,
AAPL,23/06/2022 14:20,136.55,136.66,136.68,136.55,18837,,,,,,
AAPL,23/06/2022 14:25,136.63,136.85,136.94,136.56,13641,,,,,,
AAPL,23/06/2022 14:30,136.81,136.58,136.84,136.56,5170,,,,,,
AAPL,23/06/2022 14:35,136.62,136.63,136.7,136.59,6336,,,,,,
AAPL,23/06/2022 14:40,136.7,136.6,136.73,136.42,13597,,,,,,
AAPL,23/06/2022 14:45,136.59,136.7,136.85,136.53,14788,,,,,,
AAPL,23/06/2022 14:50,136.68,136.66,136.75,136.6,9583,,,,,,
AAPL,23/06/2022 14:55,136.64,136.61,136.66,136.57,9050,,,,,,
AAPL,23/06/2022 15:00,136.5,136.47,136.739,135.27,159269,,,,,,
AAPL,23/06/2022 15:05,136.46,136.29,136.46,136.25,38821,,,,,,
AAPL,23/06/2022 15:10,136.31,136.3,136.47,136.27,35709,,,,,,
AAPL,23/06/2022 15:15,136.32,136.4,136.44,136.3,22377,,,,,,
AAPL,23/06/2022 15:20,136.38,136.42,136.47,136.3,18648,,,,,,
AAPL,23/06/2022 15:25,136.415,136.24,136.44,136.17,36042,,,,,,
AAPL,23/06/2022 15:30,136.24,136.085,136.244,136.031,70202,,,,,,
AAPL,23/06/2022 15:35,136.1,136.08,136.13,136.03,43017,,,,,,
AAPL,23/06/2022 15:40,136.04,136.1,136.39,136.03,64839,,,,,,
AAPL,23/06/2022 15:45,136.08,136.17,136.23,136.02,32373,,,,,,
AAPL,23/06/2022 15:50,136.15,136.18,136.29,136.1,35177,,,,,,
AAPL,23/06/2022 15:55,136.16,136.27,136.39,136.15,14378,,,,,,
AAPL,23/06/2022 16:00,136.31,136.28,136.47,136.255,22959,,,,,,
