date,symbol,open,high,low,close
11/07/2023,AAPL,189.16,189.3,186.6,188.08
12/07/2023,AAPL,189.68,191.7,188.47,189.77
13/07/2023,AAPL,190.5,191.19,189.78,190.54
14/07/2023,AAPL,190.23,191.1799,189.63,190.69
17/07/2023,AAPL,191.9,194.32,191.81,193.99
18/07/2023,AAPL,193.35,194.33,192.415,193.73
19/07/2023,AAPL,193.1,198.23,192.65,195.1
20/07/2023,AAPL,195.09,196.47,192.495,193.13
21/07/2023,AAPL,194.1,194.97,191.23,191.94
24/07/2023,AAPL,193.41,194.91,192.25,192.75
25/07/2023,AAPL,193.33,194.44,192.915,193.62
26/07/2023,AAPL,193.67,195.64,193.32,194.5
27/07/2023,AAPL,196.02,197.2,192.55,193.22
28/07/2023,AAPL,194.67,196.626,194.14,195.83
31/07/2023,AAPL,196.06,196.49,195.26,196.45
01/08/2023,AAPL,196.235,196.73,195.28,195.605
02/08/2023,AAPL,195.04,195.18,191.8507,192.58
03/08/2023,AAPL,191.57,192.37,190.69,191.17
